id,prediction
0,[3]
1,[0]
2,[1]
3,[1]
4,[2]
5,[3]
6,[2]
7,[1]
8,[0]
9,[3]
10,[0]
11,[1]
12,[0]
13,[3]
14,[2]
15,[0]
16,[3]
17,[0]
18,[0]
19,[0]
20,[0]
21,[3]
22,[1]
23,[1]
24,[0]
25,[0]
26,[0]
27,[2]
28,[2]
29,[0]
30,[0]
31,[0]
32,[0]
33,[2]
34,[2]
35,[0]
36,[1]
37,[0]
38,[2]
39,[0]
40,[2]
41,[1]
42,[0]
43,[1]
44,[0]
45,[0]
46,[1]
47,[1]
48,[0]
49,[1]
50,[0]
51,[0]
52,[2]
53,[2]
54,[2]
55,[0]
56,[0]
57,[2]
58,[3]
59,[2]
60,[0]
61,[0]
62,[0]
63,[0]
64,[1]
65,[0]
66,[0]
67,[2]
68,[0]
69,[0]
70,[0]
71,[0]
72,[2]
73,[0]
74,[2]
75,[1]
76,[2]
77,[1]
78,[3]
79,[0]
80,[2]
81,[2]
82,[2]
83,[1]
84,[2]
85,[0]
86,[2]
87,[0]
88,[2]
89,[1]
90,[0]
91,[0]
92,[3]
93,[0]
94,[1]
95,[3]
96,[2]
97,[0]
98,[3]
99,[0]
100,[0]
101,[3]
102,[1]
103,[2]
104,[0]
105,[2]
106,[1]
107,[0]
108,[0]
109,[3]
110,[0]
111,[0]
112,[0]
113,[0]
114,[1]
115,[1]
116,[1]
117,[2]
118,[0]
119,[1]
120,[1]
121,[2]
122,[2]
123,[0]
124,[3]
125,[0]
126,[0]
127,[0]
128,[0]
129,[1]
130,[0]
131,[3]
132,[1]
133,[3]
134,[0]
135,[2]
136,[3]
137,[2]
138,[2]
139,[0]
140,[1]
141,[0]
142,[0]
143,[3]
144,[1]
145,[1]
146,[1]
147,[1]
148,[0]
149,[2]
150,[0]
151,[0]
152,[1]
153,[2]
154,[2]
155,[0]
156,[1]
157,[2]
158,[2]
159,[3]
160,[2]
161,[0]
162,[0]
163,[2]
164,[0]
165,[1]
166,[2]
167,[0]
168,[0]
169,[0]
170,[1]
171,[1]
172,[2]
173,[3]
174,[0]
175,[0]
176,[2]
177,[0]
178,[0]
179,[0]
180,[0]
181,[0]
182,[3]
183,[2]
184,[0]
185,[0]
186,[3]
187,[2]
188,[0]
189,[0]
190,[0]
191,[0]
192,[0]
193,[0]
194,[1]
195,[3]
196,[2]
197,[3]
198,[3]
199,[0]
200,[1]
201,[2]
202,[2]
203,[0]
204,[2]
205,[3]
206,[0]
207,[0]
208,[0]
209,[2]
210,[0]
211,[2]
212,[3]
213,[2]
214,[0]
215,[2]
216,[2]
217,[0]
218,[0]
219,[1]
220,[2]
221,[0]
222,[3]
223,[0]
224,[0]
225,[3]
226,[2]
227,[0]
228,[0]
229,[0]
230,[0]
231,[3]
232,[1]
233,[1]
234,[3]
235,[0]
236,[2]
237,[0]
238,[0]
239,[0]
240,[1]
241,[1]
242,[0]
243,[0]
244,[0]
245,[2]
246,[3]
247,[0]
248,[2]
249,[2]
250,[2]
251,[2]
252,[2]
253,[0]
254,[0]
255,[0]
256,[0]
257,[2]
258,[2]
259,[1]
260,[2]
261,[3]
262,[0]
263,[2]
264,[0]
265,[1]
266,[2]
267,[3]
268,[2]
269,[2]
270,[0]
271,[0]
272,[0]
273,[0]
274,[0]
275,[2]
276,[3]
277,[2]
278,[2]
279,[2]
280,[1]
281,[2]
282,[0]
283,[0]
284,[2]
285,[2]
286,[0]
287,[1]
288,[0]
289,[1]
290,[2]
291,[2]
292,[0]
293,[2]
294,[1]
295,[0]
296,[2]
297,[0]
298,[3]
299,[2]
300,[2]
301,[0]
302,[2]
303,[2]
304,[0]
305,[2]
306,[2]
307,[0]
308,[2]
309,[1]
310,[1]
311,[3]
312,[0]
313,[0]
314,[0]
315,[0]
316,[2]
317,[1]
318,[0]
319,[1]
320,[2]
321,[1]
322,[1]
323,[0]
324,[2]
325,[0]
326,[3]
327,[3]
328,[2]
329,[3]
330,[2]
331,[0]
332,[3]
333,[0]
334,[0]
335,[0]
336,[3]
337,[0]
338,[0]
339,[0]
340,[0]
341,[2]
342,[2]
343,[0]
344,[2]
345,[2]
346,[0]
347,[0]
348,[1]
349,[1]
350,[1]
351,[2]
352,[0]
353,[2]
354,[2]
355,[1]
356,[0]
357,[2]
358,[2]
359,[2]
360,[2]
361,[2]
362,[2]
363,[2]
364,[1]
365,[1]
366,[0]
367,[0]
368,[0]
369,[2]
370,[0]
371,[0]
372,[2]
373,[3]
374,[1]
375,[0]
376,[2]
377,[2]
378,[3]
379,[1]
380,[0]
381,[1]
382,[0]
383,[0]
384,[0]
385,[2]
386,[2]
387,[2]
388,[2]
389,[0]
390,[2]
391,[0]
392,[0]
393,[3]
394,[1]
395,[0]
396,[3]
397,[0]
398,[0]
399,[2]
400,[1]
401,[0]
402,[0]
403,[0]
404,[0]
405,[2]
406,[0]
407,[2]
408,[0]
409,[0]
410,[1]
411,[0]
412,[0]
413,[3]
414,[0]
415,[1]
416,[3]
417,[2]
418,[0]
419,[3]
420,[2]
421,[1]
422,[2]
423,[1]
424,[0]
425,[1]
426,[1]
427,[2]
428,[3]
429,[0]
430,[2]
431,[0]
432,[3]
433,[2]
434,[1]
435,[0]
436,[0]
437,[0]
438,[0]
439,[1]
440,[1]
441,[2]
442,[1]
443,[2]
444,[2]
445,[2]
446,[0]
447,[2]
448,[2]
449,[0]
450,[0]
451,[3]
452,[0]
453,[1]
454,[1]
455,[1]
456,[2]
457,[3]
458,[0]
459,[2]
460,[2]
461,[2]
462,[0]
463,[2]
464,[1]
465,[0]
466,[2]
467,[0]
468,[3]
469,[2]
470,[0]
471,[0]
472,[0]
473,[1]
474,[3]
475,[0]
476,[0]
477,[1]
478,[0]
479,[2]
480,[2]
481,[0]
482,[0]
483,[0]
484,[2]
485,[3]
486,[2]
487,[0]
488,[2]
489,[1]
490,[2]
491,[3]
492,[0]
493,[2]
494,[0]
495,[1]
496,[1]
497,[0]
498,[2]
499,[2]
500,[0]
501,[1]
502,[2]
503,[2]
504,[3]
505,[0]
506,[0]
507,[1]
508,[2]
509,[0]
510,[2]
511,[0]
512,[1]
513,[0]
514,[1]
515,[0]
516,[3]
517,[0]
518,[2]
519,[0]
520,[0]
521,[3]
522,[2]
523,[0]
524,[1]
525,[2]
526,[2]
527,[0]
528,[3]
529,[2]
530,[0]
531,[2]
532,[1]
533,[2]
534,[0]
535,[0]
536,[0]
537,[1]
538,[0]
539,[2]
540,[1]
541,[3]
542,[0]
543,[0]
544,[2]
545,[0]
546,[2]
547,[0]
548,[0]
549,[2]
550,[1]
551,[2]
552,[0]
553,[0]
554,[0]
555,[1]
556,[2]
557,[0]
558,[1]
559,[2]
560,[2]
561,[0]
562,[1]
563,[0]
564,[2]
565,[0]
566,[2]
567,[2]
568,[0]
569,[2]
570,[1]
571,[0]
572,[1]
573,[0]
574,[0]
575,[2]
576,[0]
577,[3]
578,[0]
579,[2]
580,[3]
581,[2]
582,[2]
583,[2]
584,[1]
585,[2]
586,[2]
587,[2]
588,[2]
589,[2]
590,[1]
591,[0]
592,[2]
593,[2]
594,[2]
595,[0]
596,[1]
597,[1]
598,[0]
599,[0]
600,[2]
601,[0]
602,[1]
603,[2]
604,[0]
605,[0]
606,[2]
607,[2]
608,[0]
609,[0]
610,[0]
611,[2]
612,[2]
613,[3]
614,[3]
615,[0]
616,[2]
617,[1]
618,[2]
619,[0]
620,[0]
621,[0]
622,[2]
623,[1]
624,[0]
625,[0]
626,[2]
627,[2]
628,[2]
629,[3]
630,[2]
631,[0]
632,[2]
633,[0]
634,[0]
635,[0]
636,[0]
637,[0]
638,[0]
639,[3]
640,[0]
641,[1]
642,[2]
643,[0]
644,[0]
645,[0]
646,[1]
647,[3]
648,[2]
649,[0]
650,[0]
651,[2]
652,[3]
653,[1]
654,[1]
655,[3]
656,[3]
657,[0]
658,[2]
659,[1]
660,[3]
661,[1]
662,[0]
663,[2]
664,[2]
665,[2]
666,[2]
667,[3]
668,[3]
669,[0]
670,[0]
671,[0]
672,[0]
673,[2]
674,[2]
675,[1]
676,[2]
677,[0]
678,[1]
679,[0]
680,[1]
681,[1]
682,[2]
683,[2]
684,[3]
685,[0]
686,[0]
687,[1]
688,[0]
689,[0]
690,[3]
691,[0]
692,[2]
693,[0]
694,[3]
695,[0]
696,[2]
697,[2]
698,[0]
699,[2]
700,[3]
701,[0]
702,[0]
703,[0]
704,[0]
705,[2]
706,[0]
707,[1]
708,[0]
709,[0]
710,[2]
711,[2]
712,[2]
713,[0]
714,[2]
715,[0]
716,[3]
717,[0]
718,[0]
719,[0]
720,[3]
721,[3]
722,[0]
723,[3]
724,[2]
725,[3]
726,[0]
727,[1]
728,[0]
729,[2]
730,[3]
731,[0]
732,[2]
733,[1]
734,[0]
735,[0]
736,[0]
737,[2]
738,[1]
739,[0]
740,[0]
741,[2]
742,[0]
743,[0]
744,[0]
745,[0]
746,[2]
747,[1]
748,[2]
749,[3]
750,[0]
751,[0]
752,[3]
753,[0]
754,[2]
755,[2]
756,[0]
757,[3]
758,[2]
759,[1]
760,[2]
761,[2]
762,[2]
763,[2]
764,[0]
765,[0]
766,[1]
767,[1]
768,[2]
769,[1]
770,[0]
771,[0]
772,[1]
773,[1]
774,[1]
775,[3]
776,[0]
777,[1]
778,[2]
779,[0]
780,[0]
781,[2]
782,[0]
783,[0]
784,[3]
785,[3]
786,[3]
787,[2]
788,[3]
789,[2]
790,[0]
791,[2]
792,[0]
793,[0]
794,[3]
795,[0]
796,[0]
797,[0]
798,[0]
799,[1]
800,[1]
801,[2]
802,[0]
803,[3]
804,[3]
805,[0]
806,[2]
807,[0]
808,[0]
809,[2]
810,[2]
811,[1]
812,[2]
813,[2]
814,[0]
815,[2]
816,[2]
817,[2]
818,[0]
819,[1]
820,[0]
821,[3]
822,[0]
823,[1]
824,[2]
825,[0]
826,[0]
827,[2]
828,[1]
829,[0]
830,[2]
831,[0]
832,[0]
833,[2]
834,[1]
835,[0]
836,[1]
837,[1]
838,[2]
839,[2]
840,[0]
841,[2]
842,[0]
843,[1]
844,[0]
845,[2]
846,[3]
847,[0]
848,[2]
849,[0]
850,[0]
851,[0]
852,[2]
853,[2]
854,[3]
855,[1]
856,[0]
857,[2]
858,[3]
859,[2]
860,[1]
861,[1]
862,[0]
863,[2]
864,[0]
865,[2]
866,[0]
867,[0]
868,[2]
869,[2]
870,[0]
871,[0]
872,[1]
873,[0]
874,[0]
875,[2]
876,[3]
877,[0]
878,[1]
879,[0]
880,[2]
881,[0]
882,[0]
883,[1]
884,[1]
885,[3]
886,[1]
887,[1]
888,[2]
889,[0]
890,[2]
891,[0]
892,[0]
893,[2]
894,[1]
895,[0]
896,[1]
897,[1]
898,[2]
899,[3]
900,[0]
901,[0]
902,[2]
903,[0]
904,[0]
905,[1]
906,[0]
907,[3]
908,[0]
909,[3]
910,[3]
911,[0]
912,[0]
913,[1]
914,[2]
915,[0]
916,[1]
917,[1]
918,[2]
919,[0]
920,[2]
921,[2]
922,[3]
923,[0]
924,[0]
925,[1]
926,[0]
927,[0]
928,[0]
929,[0]
930,[0]
931,[1]
932,[2]
933,[0]
934,[1]
935,[1]
936,[3]
937,[3]
938,[0]
939,[2]
940,[2]
941,[0]
942,[0]
943,[0]
944,[2]
945,[3]
946,[2]
947,[3]
948,[1]
949,[0]
950,[1]
951,[0]
952,[1]
953,[0]
954,[0]
955,[1]
956,[0]
957,[0]
958,[1]
959,[1]
960,[0]
961,[2]
962,[0]
963,[0]
964,[2]
965,[0]
966,[2]
967,[1]
968,[1]
969,[0]
970,[0]
971,[2]
972,[1]
973,[0]
974,[2]
975,[3]
976,[0]
977,[2]
978,[2]
979,[0]
980,[1]
981,[2]
982,[0]
983,[2]
984,[2]
985,[3]
986,[0]
987,[1]
988,[2]
989,[1]
990,[2]
991,[3]
992,[3]
993,[2]
994,[2]
995,[2]
996,[2]
997,[0]
998,[0]
999,[0]
1000,[2]
1001,[0]
1002,[1]
1003,[1]
1004,[0]
1005,[0]
1006,[1]
1007,[0]
1008,[1]
1009,[1]
1010,[2]
1011,[0]
1012,[0]
1013,[2]
1014,[2]
1015,[0]
1016,[1]
1017,[0]
1018,[1]
1019,[3]
1020,[0]
1021,[0]
1022,[2]
1023,[2]
1024,[3]
1025,[2]
1026,[0]
1027,[2]
1028,[1]
1029,[2]
1030,[0]
1031,[0]
1032,[2]
1033,[0]
1034,[0]
1035,[3]
1036,[1]
1037,[2]
1038,[0]
1039,[2]
1040,[0]
1041,[2]
1042,[1]
1043,[0]
1044,[2]
1045,[0]
1046,[1]
1047,[3]
1048,[0]
1049,[0]
1050,[0]
1051,[0]
1052,[2]
1053,[2]
1054,[3]
1055,[0]
1056,[1]
1057,[0]
1058,[2]
1059,[1]
1060,[2]
1061,[2]
1062,[0]
1063,[1]
1064,[0]
1065,[3]
1066,[0]
1067,[0]
1068,[3]
1069,[0]
1070,[0]
1071,[0]
1072,[0]
1073,[0]
1074,[0]
1075,[2]
1076,[0]
1077,[3]
1078,[2]
1079,[0]
1080,[2]
1081,[0]
1082,[0]
1083,[0]
1084,[3]
1085,[1]
1086,[2]
1087,[2]
1088,[0]
1089,[1]
1090,[1]
1091,[2]
1092,[0]
1093,[1]
1094,[2]
1095,[1]
1096,[2]
1097,[2]
1098,[1]
1099,[2]
1100,[1]
1101,[0]
1102,[2]
1103,[0]
1104,[3]
1105,[2]
1106,[0]
1107,[2]
1108,[0]
1109,[1]
1110,[3]
1111,[2]
1112,[0]
1113,[0]
1114,[3]
1115,[2]
1116,[2]
1117,[3]
1118,[0]
1119,[0]
1120,[2]
1121,[2]
1122,[2]
1123,[2]
1124,[1]
1125,[2]
1126,[2]
1127,[2]
1128,[0]
1129,[0]
1130,[2]
1131,[1]
1132,[0]
1133,[2]
1134,[1]
1135,[3]
1136,[1]
1137,[2]
1138,[2]
1139,[0]
1140,[0]
1141,[2]
1142,[0]
1143,[0]
1144,[0]
1145,[2]
1146,[3]
1147,[0]
1148,[3]
1149,[3]
1150,[1]
1151,[0]
1152,[0]
1153,[2]
1154,[0]
1155,[0]
1156,[3]
1157,[2]
1158,[2]
1159,[2]
1160,[0]
1161,[0]
1162,[1]
1163,[2]
1164,[3]
1165,[0]
1166,[1]
1167,[2]
1168,[0]
1169,[2]
1170,[0]
1171,[1]
1172,[2]
1173,[0]
1174,[2]
1175,[1]
1176,[0]
1177,[2]
1178,[1]
1179,[2]
1180,[2]
1181,[0]
1182,[2]
1183,[0]
1184,[0]
1185,[0]
1186,[2]
1187,[3]
1188,[0]
1189,[0]
1190,[3]
1191,[1]
1192,[1]
1193,[0]
1194,[0]
1195,[1]
1196,[1]
1197,[0]
1198,[0]
1199,[0]
1200,[0]
1201,[0]
1202,[3]
1203,[2]
1204,[0]
1205,[2]
1206,[2]
1207,[2]
1208,[2]
1209,[3]
1210,[0]
1211,[2]
1212,[0]
1213,[0]
1214,[1]
1215,[0]
1216,[1]
1217,[2]
1218,[0]
1219,[1]
1220,[0]
1221,[2]
1222,[2]
1223,[2]
1224,[1]
1225,[1]
1226,[0]
1227,[2]
1228,[0]
1229,[2]
1230,[0]
1231,[2]
1232,[0]
1233,[1]
1234,[1]
1235,[3]
1236,[1]
1237,[1]
1238,[2]
1239,[0]
1240,[1]
1241,[1]
1242,[1]
1243,[2]
1244,[0]
1245,[1]
1246,[0]
1247,[0]
1248,[0]
1249,[1]
1250,[2]
1251,[0]
