Id,Interview,Prediction
,,
0,"  I touched my arm on the stove, and I got burned, and I cried.__EOS__  I bet you did. I bet that hurt. What happened? Did Daddy let you cook by yourself or something? Oh, God. OK. The court says that I'm not supposed to say anything, but I would be, like, totally negligent if I didn't tell you that you really have to watch yourself when you're alone with Daddy, OK?__EOS__  Margo was there.__EOS__  Margo? You mean our Margo? Margo who was at our house, that Margo? Do you have a nice room at Daddy's?",1
,,
1," You analyze the lyrics and then you realize, Oh, a tune like telling just don't think about the future. Just don't talk about that. Let's just enjoy now.__EOS__ Signs of unstable times, that Zhang says still resonate in today's China.__EOS__ There's nothing guaranteed, you know. Mentally, you're very pressured in a way.__EOS__ And that feeling is bound to cross cultures, says Dave Liang, of the Shanghai Restoration Project.",2
,,
2," storytelling and presenting music with a message. __EOS__ When Lonnie Rashid Lynn Jr. came on to the hip-hop scene, it was the beginning of an era, just not his. __EOS__  One, two, three and to the four. Snoop Doggy Dog and Dr. Dre is at the door, Ready to make an entrance so back on up. Because we know we about rip  up. __EOS__ Common broke on to the scene in the early 1990s, just as gangster rap was starting its assault on mainstream America. ",2
,,
3," Yeah. And so it was the first uncensored prison magazine. You won many awards, including the George Polk Award. And you investigated things that were happening in prison. I mean, it was like a real newspaper, reporting on what was happening inside. How did you know, how did you figure out that that's what you should be doing, that you would be good at it, that you would like it, that you would make a difference? __EOS__ I didn't know that when I started out. All I - what I - what I really wanted to do was tell - put it this way  When I was released off death row, I was released into what then was the bloodiest prison in the nation. And the things I saw, and the way, you know, what I saw going on in that place, I was so shocked and offended, and that's where I just felt that, you know, society doesn't know this. __EOS__ A warden. __EOS__ Yeah, C. Paul Phelps. He thought that a free press could perhaps make a difference. ",0
,,
4," Classical pianist Vladimir Horowitz, in the 20 years since his death, has only gained in stature as one of the titans of 20th century music. As insecure as he was accomplished, he at once craved the public's rapturous attention then shunned it altogether. __EOS__ Horowitz contracted a private company to cut lacquer disc recordings of all of his Carnegie Hall recitals. They are admittedly not high fidelity, but that's more than amply compensated for by Horowitz's muscular tone and vibrant orchestral palette. __EOS__ Like many great artists, Horowitz suffered from extreme mood swings and even submitted himself to electroshock therapy in the 1960s to alleviate his bipolar symptoms. Later, he would try antidepressants but found that they severely impaired his ability to play music. __EOS__ But there is also unalloyed energy and joy in these recordings, especially when Horowitz is pulling off a brisk, virtuosic run. He achieved his gorgeous tone and singing, swinging sense of melody by keeping his fingers near to the keys, not lifting them off and striking the poor ivories as some showier pianists do. ",2
,,
