Id,Prediction
0,3
1,0
2,1
3,0
4,0
5,0
6,3
7,1
8,3
9,2
10,0
11,0
12,1
13,1
14,0
15,3
16,1
17,2
18,2
19,3
20,0
21,3
22,1
23,3
24,2
25,3
26,0
27,0
28,3
29,1
30,0
31,2
32,0
33,1
34,0
35,3
36,2
37,0
38,1
39,3
40,1
41,3
42,0
43,0
44,1
45,3
46,3
47,0
48,0
49,2
50,3
51,1
52,3
53,2
54,3
55,0
56,3
57,1
58,2
59,0
60,0
61,0
62,3
63,0
64,2
65,2
66,0
67,0
68,0
69,3
70,3
71,2
72,3
73,2
74,0
75,0
76,3
77,1
78,2
79,3
80,3
81,3
82,1
83,0
84,0
85,3
86,3
87,0
88,1
89,2
90,0
91,0
92,2
93,0
94,0
95,1
96,0
97,3
98,0
99,3
100,0
101,2
102,0
103,3
104,0
105,0
106,3
107,2
108,0
109,0
110,3
111,2
112,3
113,0
114,1
115,0
116,0
117,1
118,3
119,3
120,3
121,0
122,3
123,3
124,2
125,3
126,0
127,0
128,0
129,1
130,0
131,0
132,1
133,3
134,3
135,2
136,3
137,3
138,0
139,0
140,2
141,2
142,0
143,3
144,1
145,3
146,0
147,3
148,1
149,3
150,0
151,0
152,2
153,0
154,3
155,3
156,0
157,3
158,2
159,0
160,3
161,1
162,3
163,0
164,2
165,0
166,3
167,0
168,2
169,0
170,0
171,0
172,0
173,3
174,0
175,3
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,2
185,0
186,3
187,3
188,2
189,3
190,1
191,3
192,2
193,0
194,3
195,3
196,2
197,0
198,0
199,3
200,1
201,2
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,3
215,2
216,2
217,3
218,3
219,0
220,3
221,0
222,1
223,3
224,0
225,1
226,0
227,3
228,2
229,2
230,2
231,0
232,0
233,0
234,1
235,1
236,3
237,0
238,3
239,0
240,2
241,3
242,0
243,0
244,0
245,1
246,3
247,3
248,0
249,0
250,0
251,3
252,0
253,2
254,0
255,3
256,1
257,0
258,1
259,0
260,1
261,0
262,3
263,0
264,0
265,2
266,3
267,3
268,2
269,0
270,2
271,3
272,2
273,3
274,0
275,0
276,0
277,3
278,1
279,3
280,2
281,3
282,0
283,0
284,0
285,3
286,3
287,3
288,3
289,1
290,1
291,0
292,2
293,0
294,2
295,3
296,2
297,0
298,0
299,2
300,0
301,2
302,0
303,1
304,0
305,3
306,1
307,0
308,0
309,1
310,2
311,0
312,0
313,0
314,3
315,0
316,3
317,2
318,0
319,1
320,3
321,3
322,2
323,1
324,0
325,3
326,0
327,1
328,0
329,0
330,1
331,3
332,0
333,3
334,3
335,3
336,3
337,3
338,1
339,0
340,0
341,0
342,2
343,0
344,2
345,3
346,1
347,3
348,3
349,2
350,3
351,1
352,0
353,0
354,0
355,2
356,2
357,0
358,3
359,0
360,1
361,2
362,3
363,0
364,2
365,2
366,2
367,0
368,3
369,2
370,3
371,0
372,1
373,1
374,1
375,0
376,3
377,2
378,0
379,3
380,3
381,0
382,3
383,0
384,3
385,2
386,2
387,1
388,3
389,3
390,0
391,3
392,2
393,0
394,0
395,2
396,0
397,3
398,0
399,0
400,0
401,1
402,1
403,3
404,0
405,0
406,3
407,3
408,3
409,3
410,1
411,0
412,0
413,2
414,3
415,1
416,3
417,0
418,0
419,0
420,3
421,1
422,2
423,0
424,0
425,1
426,3
427,0
428,3
429,0
430,0
431,2
432,3
433,3
434,3
435,0
436,0
437,2
438,3
439,3
440,2
441,3
442,3
443,3
444,3
445,0
446,3
447,0
448,0
449,3
450,3
451,2
452,3
453,0
454,3
455,0
456,3
457,0
458,0
459,2
460,1
461,2
462,0
463,3
464,0
465,3
466,3
467,2
468,3
469,2
470,2
471,3
472,1
473,2
474,0
475,0
476,0
477,0
478,0
479,2
480,3
481,0
482,0
483,1
484,2
485,3
486,3
487,0
488,3
489,1
490,0
491,0
492,1
493,2
494,2
495,3
496,2
497,0
498,1
499,1
500,1
501,3
502,2
503,2
504,0
505,1
506,0
507,3
508,0
509,0
510,0
511,3
512,0
513,2
514,3
515,0
516,3
517,3
518,0
519,2
520,3
521,2
522,2
523,0
524,3
525,1
526,0
527,0
528,0
529,2
530,3
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,1
542,2
543,0
544,3
545,3
546,3
547,2
548,0
549,3
550,1
551,2
552,0
553,0
554,0
555,2
556,1
557,3
558,3
559,2
560,0
561,3
562,1
563,0
564,0
565,3
566,3
567,0
568,0
569,1
570,0
571,1
572,0
573,0
574,2
575,0
576,0
577,3
578,0
579,0
580,0
581,3
582,0
583,0
584,1
585,3
586,0
587,0
588,0
589,3
590,2
591,0
592,0
593,2
594,3
595,0
596,2
597,0
598,3
599,0
600,1
601,2
602,2
603,3
604,3
605,1
606,0
607,0
608,0
609,3
610,0
611,3
612,0
613,3
614,0
615,3
616,0
617,3
618,3
619,0
620,3
621,2
622,3
623,3
624,3
625,3
626,0
627,1
628,0
629,0
630,0
631,2
632,3
633,2
634,2
635,3
636,2
637,2
638,0
639,2
640,3
641,2
642,0
643,2
644,0
645,2
646,0
647,0
648,0
649,1
650,1
651,3
652,0
653,3
654,3
655,3
656,0
657,3
658,3
659,0
660,1
661,0
662,3
663,2
664,1
665,2
666,0
667,3
668,3
669,0
670,3
671,2
672,3
673,2
674,3
675,3
676,3
677,3
678,3
679,1
680,0
681,2
682,0
683,3
684,3
685,0
686,0
687,3
688,0
689,2
690,0
691,2
692,1
693,2
694,1
695,0
696,3
697,0
698,0
699,0
700,3
701,0
702,3
703,0
704,3
705,0
706,1
707,3
708,0
709,1
710,3
711,0
712,0
713,0
714,2
715,3
716,0
717,2
718,3
719,2
720,2
721,3
722,0
723,1
724,3
725,0
726,3
727,0
728,3
729,2
730,3
731,2
732,2
733,3
734,2
735,1
736,0
737,1
738,1
739,1
740,3
741,0
742,1
743,0
744,0
745,2
746,2
747,0
748,2
749,0
750,2
751,0
752,3
753,2
754,1
755,0
756,0
757,3
758,0
759,0
760,0
761,0
762,0
763,0
764,2
765,3
766,0
767,0
768,3
769,3
770,0
771,3
772,0
773,0
774,3
775,1
776,0
777,2
778,3
779,1
780,2
781,0
782,3
783,0
784,3
785,0
786,2
787,3
788,1
789,3
790,0
791,0
792,3
793,2
794,3
795,0
796,1
797,0
798,2
799,1
800,3
801,1
802,0
803,0
804,3
805,0
806,0
807,1
808,3
809,0
810,3
811,0
812,0
813,2
814,0
815,0
816,2
817,3
818,3
819,0
820,2
821,3
822,1
823,0
824,0
825,0
826,0
827,3
828,2
829,0
830,3
831,3
832,0
833,0
834,1
835,0
836,3
837,3
838,3
839,3
840,3
841,0
842,2
843,2
844,0
845,2
846,0
847,0
848,0
849,0
850,0
851,2
852,0
853,0
854,3
855,1
856,0
857,3
858,0
859,1
860,2
861,3
862,3
863,1
864,3
865,0
866,3
867,1
868,2
869,0
870,0
871,3
872,3
873,3
874,2
875,0
876,1
877,2
878,1
879,0
880,3
881,0
882,0
883,0
884,3
885,1
886,3
887,3
888,0
889,2
890,1
891,0
892,3
893,1
894,3
895,0
896,0
897,0
898,2
899,2
900,0
901,0
902,3
903,0
904,3
905,3
906,3
907,3
908,0
909,0
910,0
911,1
912,2
913,1
914,0
915,0
916,0
917,0
918,2
919,2
920,0
921,3
922,0
923,3
924,3
925,0
926,0
927,1
928,0
929,2
930,3
931,0
932,0
933,3
934,3
935,0
936,0
937,0
938,2
939,3
940,3
941,3
942,3
943,1
944,0
945,0
946,3
947,0
948,0
949,3
950,0
951,1
952,0
953,2
954,2
955,0
956,2
957,1
958,0
959,0
960,0
961,0
962,3
963,2
964,0
965,0
966,0
967,3
968,1
969,3
970,0
971,2
972,2
973,3
974,2
975,0
976,3
977,0
978,2
979,0
980,3
981,2
982,0
983,2
984,0
985,0
986,3
987,0
988,0
989,1
990,1
991,0
992,3
993,0
994,3
995,0
996,2
997,0
998,0
999,2
1000,1
1001,2
1002,0
1003,2
1004,3
1005,0
1006,0
1007,0
1008,3
1009,1
1010,0
1011,0
1012,3
1013,2
1014,0
1015,2
1016,0
1017,3
1018,0
1019,1
1020,1
1021,1
1022,3
1023,0
1024,2
1025,3
1026,1
1027,2
1028,0
1029,3
1030,0
1031,0
1032,0
1033,2
1034,0
1035,3
1036,3
1037,0
1038,0
1039,2
1040,0
1041,0
1042,0
1043,3
1044,0
1045,0
1046,1
1047,0
1048,3
1049,3
1050,1
1051,1
1052,0
1053,3
1054,0
1055,3
1056,0
1057,0
1058,0
1059,0
1060,2
1061,0
1062,3
1063,3
1064,0
1065,1
1066,3
1067,2
1068,1
1069,0
1070,2
1071,3
1072,0
1073,0
1074,0
1075,0
1076,3
1077,2
1078,0
1079,3
1080,0
1081,0
1082,3
1083,3
1084,0
1085,2
1086,2
1087,3
1088,0
1089,3
1090,3
1091,2
1092,1
1093,2
1094,3
1095,0
1096,3
1097,1
1098,2
1099,0
1100,1
1101,3
1102,0
1103,1
1104,0
1105,0
1106,3
1107,0
1108,1
1109,3
1110,0
1111,3
1112,0
1113,0
1114,2
1115,3
1116,0
1117,0
1118,0
1119,1
1120,3
1121,0
1122,0
1123,1
1124,0
1125,0
1126,3
1127,0
1128,0
1129,2
1130,2
1131,1
1132,1
1133,1
1134,0
1135,1
1136,2
1137,3
1138,2
1139,0
1140,0
1141,0
1142,3
1143,2
1144,1
1145,0
1146,0
1147,3
1148,0
1149,3
1150,2
1151,3
1152,3
1153,1
1154,2
1155,1
1156,3
1157,3
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,2
1166,0
1167,2
1168,0
1169,0
1170,3
1171,3
1172,0
1173,0
1174,0
1175,2
1176,3
1177,2
1178,3
1179,1
1180,0
1181,2
1182,1
1183,1
1184,3
1185,3
1186,3
1187,3
1188,0
1189,0
1190,3
1191,1
1192,0
1193,0
1194,0
1195,0
1196,2
1197,0
1198,2
1199,3
1200,0
1201,3
1202,0
1203,3
1204,0
1205,3
1206,2
1207,0
1208,3
1209,2
1210,3
1211,0
1212,3
1213,0
1214,1
1215,0
1216,1
1217,0
1218,3
1219,0
1220,2
1221,3
1222,0
1223,0
1224,0
1225,0
1226,0
1227,2
1228,0
1229,2
1230,0
1231,3
1232,0
1233,3
1234,3
1235,1
1236,3
1237,0
1238,0
1239,0
1240,3
1241,0
1242,0
1243,0
1244,3
1245,0
1246,3
1247,2
1248,0
1249,0
1250,3
1251,3
1252,1
1253,1
1254,1
1255,0
1256,1
1257,2
1258,0
1259,3
1260,0
1261,1
1262,1
1263,3
1264,0
1265,0
1266,1
1267,0
1268,2
1269,2
1270,3
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,3
1278,0
1279,3
1280,0
1281,3
1282,3
1283,3
1284,0
1285,1
1286,0
1287,2
1288,2
1289,2
1290,1
1291,0
1292,0
1293,3
1294,0
1295,0
1296,1
1297,3
1298,3
1299,1
1300,2
1301,1
1302,2
1303,2
1304,3
1305,0
1306,0
1307,3
1308,3
1309,3
1310,3
1311,0
1312,3
1313,0
1314,2
1315,0
1316,3
1317,3
1318,3
1319,1
1320,1
1321,2
1322,1
1323,3
1324,3
1325,3
1326,2
1327,0
1328,0
1329,2
1330,0
1331,0
1332,3
1333,3
1334,0
1335,2
1336,0
1337,0
1338,0
1339,2
1340,1
1341,2
1342,1
1343,0
1344,3
1345,2
1346,1
1347,1
1348,3
1349,2
1350,0
1351,0
1352,3
1353,0
1354,3
1355,0
1356,2
1357,0
1358,0
1359,0
1360,0
1361,2
1362,1
1363,1
1364,3
1365,0
1366,3
1367,0
1368,1
1369,0
1370,2
1371,3
1372,0
1373,3
1374,1
1375,3
1376,3
1377,2
1378,0
1379,3
1380,2
1381,0
1382,0
1383,0
1384,1
1385,0
1386,0
1387,3
1388,3
1389,2
1390,3
1391,1
1392,0
1393,2
1394,3
1395,3
1396,2
1397,1
1398,0
1399,0
1400,3
1401,0
1402,0
1403,0
1404,2
1405,3
1406,0
1407,0
1408,0
1409,0
1410,0
1411,1
1412,2
1413,0
1414,3
1415,0
1416,0
1417,3
1418,0
1419,0
1420,0
1421,1
1422,3
1423,1
1424,0
1425,3
1426,1
1427,0
1428,0
1429,0
1430,3
1431,0
1432,0
1433,0
1434,3
1435,0
1436,1
1437,0
1438,0
1439,1
1440,3
1441,2
1442,0
1443,2
1444,3
1445,2
1446,0
1447,3
1448,3
1449,0
1450,2
1451,0
1452,0
1453,3
1454,1
1455,0
1456,3
1457,0
1458,3
1459,3
1460,3
1461,3
1462,3
1463,0
1464,0
1465,1
1466,3
1467,0
1468,3
1469,1
1470,0
1471,0
1472,3
1473,2
1474,0
1475,2
1476,3
1477,2
1478,1
1479,2
1480,0
1481,0
1482,3
1483,2
1484,0
1485,0
1486,0
1487,0
1488,3
1489,3
1490,1
1491,0
1492,3
1493,1
1494,1
1495,0
1496,2
1497,0
1498,0
1499,0
1500,0
1501,0
1502,2
1503,2
1504,0
1505,2
1506,0
1507,3
1508,0
1509,2
1510,1
1511,1
1512,0
1513,2
1514,0
1515,0
1516,3
1517,2
1518,2
1519,0
1520,3
1521,1
1522,0
1523,0
1524,0
1525,2
1526,0
1527,1
1528,1
1529,0
1530,0
1531,3
1532,3
1533,0
1534,0
1535,2
1536,0
1537,0
1538,0
1539,0
1540,3
1541,3
1542,0
1543,1
1544,3
1545,2
1546,1
1547,2
1548,0
1549,3
1550,1
1551,2
1552,0
1553,0
1554,1
1555,3
1556,0
1557,2
1558,3
1559,1
1560,3
1561,3
1562,2
1563,0
1564,0
1565,3
1566,0
1567,0
1568,0
1569,0
1570,2
1571,0
1572,3
1573,0
1574,3
1575,0
1576,1
1577,2
1578,0
1579,0
1580,0
1581,2
1582,0
1583,0
1584,3
1585,0
1586,3
1587,0
1588,1
1589,0
1590,0
1591,3
1592,0
1593,2
1594,1
1595,3
1596,1
1597,1
1598,0
1599,1
1600,1
1601,0
1602,3
1603,2
1604,3
1605,1
1606,0
1607,3
1608,1
1609,0
1610,3
1611,0
1612,0
1613,3
1614,1
1615,3
1616,1
1617,1
1618,3
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,2
1626,0
1627,0
1628,3
1629,0
1630,0
1631,3
1632,0
1633,1
1634,0
1635,3
1636,1
1637,0
1638,0
1639,0
1640,0
1641,3
1642,0
1643,2
1644,2
1645,0
1646,3
1647,2
1648,2
1649,0
1650,3
1651,0
1652,3
1653,0
1654,0
1655,3
1656,1
1657,3
1658,3
1659,2
1660,0
1661,0
1662,0
1663,3
1664,1
1665,0
1666,0
1667,3
1668,0
1669,0
1670,2
1671,2
1672,3
1673,2
1674,2
1675,0
1676,0
1677,2
1678,3
1679,0
1680,0
1681,0
1682,0
1683,0
1684,2
1685,3
1686,0
1687,0
1688,0
1689,0
1690,3
1691,3
1692,3
1693,3
1694,1
1695,3
1696,0
1697,0
1698,2
1699,0
1700,3
1701,1
1702,3
1703,0
1704,3
1705,0
1706,0
1707,0
1708,3
1709,1
1710,0
1711,1
1712,0
1713,0
1714,3
1715,0
1716,0
1717,0
1718,3
1719,3
1720,2
1721,0
1722,0
1723,3
1724,1
1725,3
1726,1
1727,0
1728,3
1729,3
1730,1
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,3
1739,3
1740,0
1741,0
1742,3
1743,0
1744,0
1745,3
1746,2
1747,3
1748,0
1749,0
1750,0
1751,0
